codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
64260037,ROMERÍA,2026-02-12,Extranjeras,3038,15338266.30
64260038,EL SONIDO DE LA MUERTE,2026-02-12,Extranjeras,27604,166514293.76
64260039,GOAT LA CABRA QUE CAMBIO EL JUEGO,2026-02-12,Extranjeras,177008,1107186529.38
64260040,"THE DANGERS IN MY HEART, LA PELÍCULA",2026-02-12,Extranjeras,1142,10011280.00
64260041,CAMINOS DEL CRIMEN,2026-02-12,Extranjeras,39319,257480266.22
64260044,CHASE ATLANTIC: LOST IN HEAVEN,2026-02-12,Extranjeras,378,3412800.00
64260045,¿ESTÁ FUNCIONANDO ESTO?,2026-02-19,Extranjeras,9310,54985588.95
64260046,LECTOR OMNISCIENTE: LA PROFECÍA,2026-02-19,Extranjeras,3655,15750425.86
64260047,ENTRE PLUMAS Y PICOS,2026-02-19,Extranjeras,4767,20506081.58
64260048,LOVE,2026-02-19,Extranjeras,1804,6902404.91
64260050,THE MOMENT,2026-02-12,Extranjeras,6700,35227037.00
64260051,LA HISTORIA DEL SONIDO,2026-02-19,Extranjeras,3961,18115544.87
64260052,LIBRALOS DEL MAL,2026-02-19,Extranjeras,34993,153742861.25
64260053,TWENTY ONE PILOTS: MORE THAN WE EVER IMAGINED,2026-02-26,Extranjeras,5212,76459148.69
64260054,KILL BILL: THE WHOLE BLOODY AFFAIR,2026-02-26,Extranjeras,20577,269559442.52
64260055,SUEÑOS DE TRENES,2026-02-26,Extranjeras,874,3205818.21
64260056,EPIC: ELVIS PRESLEY IN CONCERT,2026-02-26,Extranjeras,3880,49999452.85
64260057,SCREAM 7,2026-02-26,Extranjeras,349480,2819264265.17
64260058,"HOLA, CHAU",2026-02-26,Extranjeras,385,2054073.10
64260059,AMELIE Y EL SECRETO DE LAS LLUVIAS,2026-02-26,Extranjeras,1278,10315053.50
64260060,EL AGENTE SECRETO,2026-02-26,Extranjeras,41676,317321345.07
64260061,¡LA NOVIA!,2026-03-05,Extranjeras,19900,147973928.13
64260062,HOPPERS,2026-02-26,Extranjeras,640929,5098814668.82
64260063,MUERTE EN INVIERNO,2026-03-05,Extranjeras,9501,74505844.43
64260064,AURORA: WHAT HAPPENED TO THE EARTH?,2026-02-26,Extranjeras,798,7259810.00
64260065,OPERACIÓN SOMBRAS,2026-03-05,Extranjeras,1448,9995051.28
64260066,CALLE MÁLAGA,2026-03-05,Extranjeras,31431,237536247.02
64260067,ENHYPEN [WALK THE LINE SUMMER EDITION] IN CINEMAS,2026-03-05,Extranjeras,5250,54279345.49
64260068,IRON LUNG,2026-03-12,Extranjeras,6825,52077687.93
64260069,LAS CATADORAS DE FÜHRER,2026-03-12,Extranjeras,4226,23008425.50
64260070,STREAMING PARANORMAL,2026-03-12,Extranjeras,1420,10167167.18
64260071,NO TE OLVIDARÉ,2026-03-11,Extranjeras,37739,289201781.10
64260072,EL GUARDIAN: ULTIMO REFUGIO,2026-03-12,Extranjeras,20239,151541652.86
64260073,EL TESTIMONIO DE ANN LEE,2026-03-12,Extranjeras,2997,26883047.02
64260074,PINOCHO,2026-03-19,Extranjeras,5916,44339577.87
64260075,BODA SANGRIENTA 2,2026-03-19,Extranjeras,48867,365861580.26
64260076,TURBULENCIA: PANICO EN EL AIRE,2026-03-19,Extranjeras,2212,16840146.69
64260077,LA GRAZIA,2026-03-19,Extranjeras,20169,154439902.97
64260078,PROYECTO FIN DEL MUNDO,2026-03-19,Extranjeras,403239,3411310793.45
64260079,JUMBO,2026-03-19,Extranjeras,1413,11462288.00
64260080,TE VAN A MATAR,2026-03-25,Extranjeras,15929,118489780.06
64260081,INSTINTO IMPLACABLE,2026-03-26,Extranjeras,5631,40748328.33
64260082,BRING ME THE HORIZON - L.I.V.E. IN SAO PAULO,2026-03-19,Extranjeras,2086,18600915.00
64260083,NUREMBERG: EL JUICIO DEL SIGLO,2026-03-26,Extranjeras,83475,696217583.40
64260084,MILLENNIUM ACTRESS,2026-03-26,Extranjeras,1450,11128904.95
64260085,FUI FORASTERO,2026-03-26,Extranjeras,230,1914559.17
64260086,UN SECRETO MÁGICO. LA LEYENDA DEL HADA DE LOS D.,2026-03-26,Extranjeras,801,6161572.41
64260087,THE DOORS,2026-03-26,Extranjeras,1066,7632897.45
64260088,SUPER MARIO GALAXY: LA PELÍCULA,2026-03-26,Extranjeras,1217234,10588135307.03
64260089,SAN SIMÓN,2026-04-09,Extranjeras,88,661500.00
64260090,GIOIA MIA - UN VERANO EN SICILIA,2026-04-02,Extranjeras,11364,71793911.69
64260091,JUGADA MAESTRA,2026-04-02,Extranjeras,9107,76146169.27
64260092,UN FANTASMA PARA SERVIRTE,2026-04-02,Extranjeras,392,2612101.00
64260093,EL MONO: LA MALDICIÓN REGRESA,2026-04-09,Extranjeras,2205,15985139.96
64260094,TORRENTE PRESIDENTE,2026-04-09,Extranjeras,10745,82920414.26
64260095,"BUENA SUERTE, DIVIERTETE, NO MUERAS",2026-04-09,Extranjeras,3205,25571945.65
64260096,BEEZEL LA DEVORADORA DE ALMAS,2026-04-09,Extranjeras,529,4093626.00
64260097,911: LLAMADA INFERNAL,2026-04-09,Extranjeras,10695,85666171.86
64260098,PADRE MADRE HERMANO HERMANA,2026-04-09,Extranjeras,15656,117658819.84
64260099,EL DRAMA,2026-04-09,Extranjeras,198257,1588698170.15
64260100,LA POSESIÓN DE LA MOMIA,2026-04-16,Extranjeras,205610,1682217537.47
64260101,CASO 137,2026-04-16,Extranjeras,3193,18547542.27
64260102,DAVID,2026-04-16,Extranjeras,5540,35392661.46
64260103,MICHAEL,2026-04-23,Extranjeras,1010435,8531098218.71
64260104,BLUEY EN CINES: MOMENTOS DE DIVERSIÓN CON AMIGOS,2026-04-23,Extranjeras,1643,14611365.00
64260106,POWER TO THE PEOPLE: JOHN & YOKO LIVE IN NYC,2026-04-23,Extranjeras,579,5643400.50
64260107,LA PRINCESA Y LA FLOR MÁGICA,2026-04-23,Extranjeras,534,3842196.58
64260108,EL MAGO DEL KREMLIN,2026-04-23,Extranjeras,7244,61483040.78
64260109,CHAO LA SIRENA,2026-04-16,Extranjeras,266,1493543.50
64260110,EL DIABLO VISTE A LA MODA 2,2026-04-23,Extranjeras,1529112,12932681337.51
64260111,EL DESPRECIO,2026-04-30,Extranjeras,1814,9964624.91
64260112,OJOS EXTRAÑOS,2026-05-07,Extranjeras,723,3834281.86
64260113,A MÚSICA NATUREZA DE LÉA FREIRE,2026-05-09,Extranjeras,53,395000.00
64260114,MORTAL KOMBAT II,2026-05-07,Extranjeras,291441,2512265745.29
64260116,SUEÑOS DE OSLO,2026-05-07,Extranjeras,2632,15097446.18
64260117,HOKUM: LA MALDICION DE LA BRUJA,2026-05-07,Extranjeras,29089,236951119.73
64260118,LAS OVEJAS DETECTIVES,2026-05-07,Extranjeras,20655,168677036.21
64260119,BILLIE EILISH - HIT ME HARD AND SOFT: THE TOUR,2026-05-07,Extranjeras,11781,159919265.32
64260120,IRON MAIDEN: BURNING AMBITION,2026-05-07,Extranjeras,4426,59211917.87
64260121,LA ESTACION DEL TERROR,2026-05-07,Extranjeras,456,3918794.66
64260122,"TU, YO & LA TOSCANA",2026-05-14,Extranjeras,1863,15750792.39
64260123,EXIT 8,2026-05-14,Extranjeras,11063,82574962.96
64260124,UMAMUSUME: PRETTY DERBY,2026-05-14,Extranjeras,6255,55501740.92
64260125,TOP GUN,2026-05-07,Extranjeras,4812,43558052.59
64260126,EN LA ZONA GRIS,2026-05-14,Extranjeras,4879,39350090.78
64260127,EL RENACER ALBIRROJO,2026-05-14,Extranjeras,83,555000.02
64260128,OBSESION,2026-05-14,Extranjeras,351158,2976798938.72
64260129,STAR WARS: THE MANDALORIAN AND GROGU,2026-05-21,Extranjeras,207171,2068230074.19
64260130,AMARGA NAVIDAD,2026-05-28,Extranjeras,54857,466533804.84
64260131,LA CHICA DE COLONIA,2026-05-21,Extranjeras,2255,15880184.97
64260132,PEQUEÑOS MONSTRUOS,2026-05-21,Extranjeras,7791,57651535.66
64260133,EL PASAJERO DEL DIABLO,2026-05-21,Extranjeras,30019,235581277.71
64260134,THE AMAZING DIGITAL CIRCUS: THE LAST ACT,2026-06-04,Extranjeras,111139,1026099455.97
64260135,ALPHA,2026-05-28,Extranjeras,599,3410858.40
64260136,EL GRAN ARCO,2026-05-28,Extranjeras,2795,21704363.12
64260137,ZONA DE RIESGO,2026-05-28,Extranjeras,8131,65577686.76
64260138,DOLLY,2026-05-28,Extranjeras,4649,37532159.07
64260139,BACKROOMS SIN SALIDA,2026-05-21,Extranjeras,506178,4315134522.91
64260140,ELLA Y SU HIJO,2026-05-28,Extranjeras,83,686500.00
64260141,MADRES JOVENES,2026-06-04,Extranjeras,1571,10749290.19
64260144,"MI PEQUEÑO NINJA, EL ORIGEN",2026-06-04,Extranjeras,2459,19835709.11
64260147,FAMILIA,2026-06-11,Extranjeras,1469,10960880.12
64260148,LETRAS ROBADAS,2026-06-11,Extranjeras,2317,20151309.11
64260151,TOY STORY 5,2026-06-17,Extranjeras,2495037,23203820251.13
64260152,LO QUE MATA,2026-06-18,Extranjeras,299,2208720.90
64260153,"ALPHAVILLE, UNA EXTRAÑA AVENTURA",2026-06-18,Extranjeras,845,7006600.00
64260154,SUPERGIRL,2026-06-24,Extranjeras,53209,469396645.27
64260155,BLEACH: THOUSAND - YEAR WAR - THE CALAMITY,2026-06-25,Extranjeras,6174,56632037.02
64260156,LOS COLORES DEL TIEMPO,2026-06-25,Extranjeras,8626,74281707.99
64260157,BARRIO TRISTE,2026-06-26,Extranjeras,195,1833800.00
