codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
AE260089,TRASNOCHES DE TERROR (MARZO-ABRIL),2026-03-21,"Festivales, Muestras y Otros",226,1093000.00
AE260093,ABRIL 2026 CINECLUB MUNICIPAL HUGO DEL CARRIL,2026-04-01,"Festivales, Muestras y Otros",166,357400.00
AE260094,RETRO-CON.SMA,2026-04-10,"Festivales, Muestras y Otros",152,731906.93
AE260095,"ARIES CINEMATOGRAFICA ARGENTINA, DAVID LYNCH X4",2026-04-01,"Festivales, Muestras y Otros",2883,12122250.00
AE260097,CANAPÉ,2026-04-29,"Festivales, Muestras y Otros",317,1861000.00
AE260098,MIRADAS SUREÑAS RETROSPECTIVA A JEFF NICHOLS,2026-04-02,"Festivales, Muestras y Otros",90,430000.00
AE260100,CINECLUB NÚCLEO ABRIL 2026,2026-04-07,"Festivales, Muestras y Otros",3504,2680560.00
AE260101,FESTEJO 25 AÑOS CINECLUB MUNICIPAL HUGO DEL CARRIL,2026-04-09,"Festivales, Muestras y Otros",213,1052900.00
AE260103,"BTS WORLD TOUR ""ARIRANG"" IN GOYANG TOKYO",2026-04-11,"Festivales, Muestras y Otros",26077,390110350.00
AE260104,FESTIVAL DE CINE DE LA INDIA,2026-04-15,"Festivales, Muestras y Otros",449,0.00
AE260107,ENERC SE PROYECTA,2026-05-02,"Festivales, Muestras y Otros",1905,8594545.46
AE260108,FICIC FESTIVAL INTERNACIONAL DE CINE INDEPENDIENTE DE COSQUÍN,2026-04-30,"Festivales, Muestras y Otros",1415,5766000.00
AE260110,VOCES DE LA PATRIA,2026-05-16,"Festivales, Muestras y Otros",36,100800.00
AE260111,MUCHACHAS DE FINCA 3,2026-05-03,"Festivales, Muestras y Otros",186,885000.00
AE260115,MAYO 2026 CINECLUB MUNICIPAL HUGO DEL CARRIL,2026-05-01,"Festivales, Muestras y Otros",274,1077000.00
AE260120,PROGRAMACIÓN MAYO Y JUNIO EL CAIRO CINE PÚBLICO,2026-05-01,"Festivales, Muestras y Otros",4180,3174000.00
AE260121,CICLO HOSODA,2026-05-07,"Festivales, Muestras y Otros",798,8115100.00
AE260122,FUERA DE CAMPO SALTA,2026-05-05,"Festivales, Muestras y Otros",80,286000.00
AE260123,CICLO DE CINE BASKO,2026-05-01,"Festivales, Muestras y Otros",137,10000.00
AE260125,ETERNAMENTE MARILYN,2026-05-06,"Festivales, Muestras y Otros",1565,10679000.00
AE260127,FESTIVAL 7° SEMANA MUNDIAL DE LA CINEFILIA,2026-05-06,"Festivales, Muestras y Otros",2109,3041831.00
AE260129,CINE ARGENTINO DE LA GENERACIÓN DEL 60,2026-05-07,"Festivales, Muestras y Otros",2254,8692000.00
AE260134,HACIA UN CINE MONUMENTAL - DAVID LEAN X 2,2026-05-06,"Festivales, Muestras y Otros",107,494000.00
AE260135,TRASNOCHES DE TERROR (MAYO-JULIO),2026-05-22,"Festivales, Muestras y Otros",105,502000.00
AE260136,CICLO DE CINECLUB NÚCLEO,2026-05-10,"Festivales, Muestras y Otros",1752,1497609.60
AE260137,EL RENACER ALBIRROJO,2026-05-13,"Festivales, Muestras y Otros",236,340945.82
AE260138,CICLO LOS SUEÑOS DE LYNCH,2026-05-14,"Festivales, Muestras y Otros",5998,49568770.00
AE260141,CIELOS ROJOS: EL CINE DE CIENCIA FICCIÓN,2026-05-21,"Festivales, Muestras y Otros",496,3123000.00
AE260142,ESTRENO EXCLUSIVO: JUSTA,2026-05-28,"Festivales, Muestras y Otros",83,517000.00
AE260143,CICLO CHABROL ENTRE DÉCADAS PROYECCIONES EXTRAS,2026-05-28,"Festivales, Muestras y Otros",60,351000.00
AE260144,ENCUENTRO CON TERESA VILLAVERDE,2026-05-29,"Festivales, Muestras y Otros",54,314000.00
AE260145,CIEN AÑOS ATRÁS: EXPRESIONISMO-FANTASÍA Y DRAMA,2026-06-02,"Festivales, Muestras y Otros",321,2229000.00
AE260146,TAXI DRIVER: FUNCIONES ESPECIALES,2026-06-07,"Festivales, Muestras y Otros",848,7155000.00
AE260147,BREVE ENCUENTRO CON ISABELLE A DJANI,2026-06-11,"Festivales, Muestras y Otros",529,3829900.00
AE260148,TRES TARDES CON GARDEL,2026-06-17,"Festivales, Muestras y Otros",94,666000.00
AE260150,MINISIERIE BARRABRAVA,2026-05-19,"Festivales, Muestras y Otros",205,187786.15
AE260152,FESTIVAL PASTURAS,2026-05-19,"Festivales, Muestras y Otros",634,0.00
AE260153,"CICLO DE CINE ""ANTES DE MORIR""",2026-05-17,"Festivales, Muestras y Otros",251,1433954.26
AE260156,PROYECCIÓN ESPECIAL EPA CINE,2026-05-24,"Festivales, Muestras y Otros",122,1599000.00
AE260157,MUCHACHAS DE FINCA 3,2026-06-04,"Festivales, Muestras y Otros",54,250000.00
AE260160,2026 TXT MOA CON IN JAPAN: LIVE VIEWING,2026-05-24,"Festivales, Muestras y Otros",2281,22447063.70
AE260163,HOMENAJE POR EL DÍA DEL DOCUMENTALISTA,2026-05-27,"Festivales, Muestras y Otros",86,350254.56
AE260166,CALIGARI AUTORES,2026-05-20,"Festivales, Muestras y Otros",23,95500.00
AE260167,HOMENAJE A CHINA ZORRILLA,2026-06-05,"Festivales, Muestras y Otros",46,128800.00
AE260169,JUNIO 2026 CINECLUB MUNICIPAL HUGO DEL CARRIL,2026-06-01,"Festivales, Muestras y Otros",109,255100.00
